iter	Passed	Remaining
0	3	328
1	5	256
2	6	213
3	7	190
4	11	218
5	12	200
6	13	181
7	14	167
8	17	172
9	18	169
10	19	160
11	20	151
12	21	143
13	22	137
14	24	140
15	26	137
16	27	133
17	28	129
18	29	125
19	32	131
20	35	131
21	35	127
22	36	123
23	37	118
24	38	116
25	39	113
26	40	110
27	41	106
28	42	103
29	42	100
30	43	96
31	44	93
32	45	91
33	46	90
34	47	88
35	48	85
36	48	83
37	49	80
38	50	78
39	50	76
40	51	73
41	51	71
42	57	76
43	58	74
44	58	72
45	59	69
46	61	69
47	62	67
48	63	65
49	63	63
50	64	62
51	65	60
52	65	58
53	66	56
54	66	54
55	68	53
56	69	52
57	70	51
58	71	49
59	71	47
60	72	46
61	73	44
62	73	43
63	74	41
64	75	40
65	76	39
66	77	38
67	78	36
68	78	35
69	79	34
70	80	32
71	80	31
72	81	30
73	82	29
74	84	28
75	85	26
76	85	25
77	86	24
78	86	23
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	92	15
86	93	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	98	7
93	99	6
94	99	5
95	100	4
96	101	3
97	101	2
98	102	1
99	103	0
